"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007091","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","21/574","59/23355",2.40911238690896e-19,2.08946430435324e-17,1.60195149732843e-17,"Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Tacc3/Cit/Anapc5/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",21
"GO:1905818","GO:1905818","regulation of chromosome separation","22/574","67/23355",2.54149121378542e-19,2.15179589433832e-17,1.64973991070281e-17,"Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Tacc3/Cit/Anapc5/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",22
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore","17/574","33/23355",2.79440166142004e-19,2.31090518790922e-17,1.77172590038627e-17,"Nuf2/Hnrnpu/Nek2/Knstrn/Knl1/Ect2/Cenpe/Kif2c/Rcc2/Cenpc1/Bub3/Aurkb/Spag5/Ccnb1/Racgap1/Sgo1/Ndc80",17
"GO:0044784","GO:0044784","metaphase/anaphase transition of cell cycle","21/574","62/23355",7.98030280175574e-19,6.30663103381382e-17,4.83517091278722e-17,"Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Tacc3/Cit/Anapc5/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",21
"GO:2001251","GO:2001251","negative regulation of chromosome organization","24/574","88/23355",7.98083229813335e-19,6.30663103381382e-17,4.83517091278722e-17,"Hnrnpu/Parp1/H3f3a/Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Mcm2/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Top2a/H3f3b/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",24
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","18/574","41/23355",9.84199051413996e-19,7.29127463922535e-17,5.59007794553125e-17,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",18
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","18/574","41/23355",9.84199051413996e-19,7.29127463922535e-17,5.59007794553125e-17,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",18
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","18/574","41/23355",9.84199051413996e-19,7.29127463922535e-17,5.59007794553125e-17,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",18
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","31/574","166/23355",1.06530598274811e-18,7.71453032198402e-17,5.91457981586011e-17,"Dtl/Bub1b/Bub1/Cenpe/Cdk5rap2/Clspn/Rpa2/Ezh2/Mad2l1/Blm/Plk1/Bub3/Ccnd1/Fbxo5/Cdk1/Cdkn2d/Rps27l/Ttk/Topbp1/Spdl1/Rpl26/Aurkb/Haspin/Brca1/Birc5/Sox4/Trip13/Ccnb1/Rad21/Ndc80/Cep192",31
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","39/574","277/23355",1.12810904595942e-18,7.71453032198402e-17,5.91457981586011e-17,"Ncl/Snrpe/Dhx9/Hnrnpu/Snrpb/Rbm3/Rbmx/Nono/Rbm8a/Ptbp2/Psip1/Sfpq/Khdrbs1/Lsm8/Lsm5/Snrpg/Lsm3/Hnrnpl/Snrpa1/Dazap1/Snrpf/Lsm4/Lsm6/Sf3b3/Npm1/C1qbp/Srsf2/Hnrnpk/Hnrnpa1/Tra2b/Rnps1/Srpk1/Srsf3/U2af1/Hnrnpm/Lsm2/Srsf7/Snrpd1/Celf4",39
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","39/574","277/23355",1.12810904595942e-18,7.71453032198402e-17,5.91457981586011e-17,"Ncl/Snrpe/Dhx9/Hnrnpu/Snrpb/Rbm3/Rbmx/Nono/Rbm8a/Ptbp2/Psip1/Sfpq/Khdrbs1/Lsm8/Lsm5/Snrpg/Lsm3/Hnrnpl/Snrpa1/Dazap1/Snrpf/Lsm4/Lsm6/Sf3b3/Npm1/C1qbp/Srsf2/Hnrnpk/Hnrnpa1/Tra2b/Rnps1/Srpk1/Srsf3/U2af1/Hnrnpm/Lsm2/Srsf7/Snrpd1/Celf4",39
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","39/574","277/23355",1.12810904595942e-18,7.71453032198402e-17,5.91457981586011e-17,"Ncl/Snrpe/Dhx9/Hnrnpu/Snrpb/Rbm3/Rbmx/Nono/Rbm8a/Ptbp2/Psip1/Sfpq/Khdrbs1/Lsm8/Lsm5/Snrpg/Lsm3/Hnrnpl/Snrpa1/Dazap1/Snrpf/Lsm4/Lsm6/Sf3b3/Npm1/C1qbp/Srsf2/Hnrnpk/Hnrnpa1/Tra2b/Rnps1/Srpk1/Srsf3/U2af1/Hnrnpm/Lsm2/Srsf7/Snrpd1/Celf4",39
"GO:1905819","GO:1905819","negative regulation of chromosome separation","18/574","43/23355",2.83029583775308e-18,1.89896830170754e-16,1.45590193044299e-16,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",18
"GO:0051225","GO:0051225","spindle assembly","26/574","114/23355",3.69021221503136e-18,2.39827552632759e-16,1.83871103344635e-16,"Aspm/Hnrnpu/Nek2/Tpx2/Aurka/Kif4/Smc1a/Cenpe/Cdc20/Haus3/Prc1/Rps3/Plk1/Fbxo5/Kif23/Ccnb2/Aurkb/Spag5/Kpnb1/Racgap1/Kifc1/Tubb5/Ndc80/Cep192/Incenp/Kif11",26
"GO:1903046","GO:1903046","meiotic cell cycle process","34/574","213/23355",3.70936878369003e-18,2.39827552632759e-16,1.83871103344635e-16,"Sgo2a/Aspm/Nuf2/Kif18a/Bub1b/Rad51/Ncaph/Bub1/Aurka/Smc4/Cenpe/Smc2/Cdc20/Cenps/Cenpc1/Ncapd2/Rad51ap1/Plk1/Fbxo5/Top2b/Ncapd3/Ccnb2/Ttk/Topbp1/Pttg1/Top2a/Cks2/Trip13/Rad21/Sgo1/Ndc80/Cdc25c/Incenp/Ubb",34
"GO:1901991","GO:1901991","negative regulation of mitotic cell cycle phase transition","29/574","149/23355",4.34395211215781e-18,2.75726561656648e-16,2.11394172840779e-16,"Bub1b/Bub1/Cenpe/Cdk5rap2/Clspn/Rpa2/Ezh2/Mad2l1/Blm/Plk1/Bub3/Ccnd1/Fbxo5/Cdk1/Rps27l/Ttk/Topbp1/Spdl1/Rpl26/Aurkb/Haspin/Brca1/Birc5/Sox4/Trip13/Ccnb1/Rad21/Ndc80/Cep192",29
"GO:0000075","GO:0000075","cell cycle checkpoint","31/574","174/23355",4.41968898043559e-18,2.75726561656648e-16,2.11394172840779e-16,"Dtl/Bub1b/Bub1/Aurka/Cenpe/Cdk5rap2/Rps6/Clspn/Rpa2/Mad2l1/Blm/Wee1/Plk1/Bub3/Ccnd1/Cdk1/Tipin/Rps27l/Ttk/Topbp1/Spdl1/Rpl26/Aurkb/Brca1/Birc5/Sox4/Trip13/Ccnb1/Rpl24/Ndc80/Cep192",31
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","18/574","44/23355",4.68169120794255e-18,2.87036102335237e-16,2.20064976925067e-16,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Pttg1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",18
"GO:0140013","GO:0140013","meiotic nuclear division","32/574","195/23355",1.58279715053183e-17,9.5397062157478e-16,7.3139065475066e-16,"Sgo2a/Aspm/Nuf2/Kif18a/Bub1b/Rad51/Ncaph/Bub1/Aurka/Smc4/Cenpe/Smc2/Cdc20/Cenps/Cenpc1/Rad51ap1/Plk1/Fbxo5/Top2b/Ncapd3/Ccnb2/Ttk/Topbp1/Pttg1/Top2a/Cks2/Trip13/Rad21/Sgo1/Ndc80/Incenp/Ubb",32
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","17/574","40/23355",1.8117874238223e-17,1.07378601318535e-15,8.23250776789433e-16,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",17
"GO:0065004","GO:0065004","protein-DNA complex assembly","30/574","170/23355",2.03046174375828e-17,1.18365933783679e-15,9.07488510152535e-16,"Mcm3/Hjurp/Mcm6/H3f3a/Set/Hat1/Rad51/Cenpe/Nasp/Rbbp4/Hp1bp3/Cenps/Cenpa/Cenpc1/Mcm7/Mcm2/Cenpw/Nap1l1/Mcm5/Smarca5/Dlgap5/Smarca4/Npm1/Cenpv/H3f3b/Cenpp/Cenph/Cenpk/Chaf1a/Hells",30
"GO:0051310","GO:0051310","metaphase plate congression","20/574","63/23355",2.35372426324154e-17,1.34997475485273e-15,1.03499929402302e-15,"Nuf2/Hnrnpu/Cenpf/Kif18a/Psrc1/Cenpe/Kif2c/Cdca8/Nudc/Cenpc1/Kif22/Spdl1/Aurkb/Spag5/Kpnb1/Ccnb1/Cenpq/Ndc80/Cdca5/Incenp",20
"GO:0045930","GO:0045930","negative regulation of mitotic cell cycle","34/574","228/23355",3.23059048213095e-17,1.82348884991392e-15,1.39803330805667e-15,"Bub1b/Bub1/Cenpe/Cdk5rap2/Rps6/Clspn/Rpa2/Ezh2/Mad2l1/Blm/Wee1/Plk1/Bub3/Ccnd1/Fbxo5/Cdk1/Tipin/Rps27l/Ttk/Topbp1/Egfr/Spdl1/Rpl26/Aurkb/Haspin/Brca1/Birc5/Sox4/Trip13/Ccnb1/Rad21/Rpl24/Ndc80/Cep192",34
"GO:0034508","GO:0034508","centromere complex assembly","15/574","29/23355",3.39948437153535e-17,1.88883850393433e-15,1.44813561221654e-15,"Hjurp/H3f3a/Cenpe/Nasp/Cenps/Cenpa/Cenpc1/Cenpw/Dlgap5/Cenpv/H3f3b/Cenpp/Cenph/Cenpk/Hells",15
"GO:0030071","GO:0030071","regulation of mitotic metaphase/anaphase transition","19/574","56/23355",3.57631262161921e-17,1.9565181049966e-15,1.50002424129454e-15,"Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Anapc5/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",19
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","17/574","42/23355",4.96823250063172e-17,2.67682345034036e-15,2.05226828973463e-15,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",17
"GO:0051052","GO:0051052","regulation of DNA metabolic process","43/574","379/23355",6.80085140767519e-17,3.60952650831238e-15,2.76735351859839e-15,"Nucks1/Dhx9/Hnrnpu/Parp1/Nek2/Rad51/Pcna/Pak3/Cct3/Usp1/Rpa2/Kdm1a/Dnajc2/Nsd2/Hnrnpd/Hmgb1/Rfc3/Cct7/Rad18/Rad51ap1/Foxm1/Trim28/Blm/Rps3/Cct2/Ptges3/Tfdp1/Top2b/Gnl3/Dnmt1/Egfr/Cct4/Npm1/Aurkb/Atad5/Brca1/Dek/Hsp90aa1/Cct5/Rfc4/Tcp1/Hsp90ab1/Kcnq1ot1",43
"GO:1902099","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","19/574","59/23355",1.09882809710249e-16,5.74622457837716e-15,4.4055182221292e-15,"Bub1b/Bub1/Ube2c/Cenpe/Cdk5rap2/Anapc5/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",19
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","24/574","108/23355",1.38047009600123e-16,7.11442269765274e-15,5.45448901394843e-15,"Bub1b/Nusap1/Bub1/Cenpe/Cdk5rap2/Ywhah/Anapc5/Mad2l1/Plk1/Bub3/Mki67/Fbxo5/Bora/Phip/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192/Kif20b",24
"GO:0006333","GO:0006333","chromatin assembly or disassembly","29/574","172/23355",2.4960194590611e-16,1.26797788520304e-14,9.72133894581691e-15,"Hjurp/H3f3a/Set/Hat1/Pole3/Nasp/Rbbp4/Hp1bp3/Baz1b/Hmgb1/Mcm2/Trim28/Mbd3/Nap1l1/Smarca5/Ctcf/Supt16/Dnmt1/Smarca4/Smarcc1/Npm1/Cenpv/Chd3/Smarce1/H3f3b/Cenpp/Smarcd1/Chaf1a/Hells",29
"GO:0051321","GO:0051321","meiotic cell cycle","39/574","327/23355",3.65502075582368e-16,1.83059912784634e-14,1.40348461936002e-14,"Sgo2a/Aspm/Nuf2/Nek2/Kif18a/Bub1b/Rad51/Ncaph/Bub1/Aurka/Smc1a/Smc4/Cenpe/Smc2/Cdc20/Cenps/Cenpc1/Ncapd2/Rad51ap1/Plk1/Bub3/Mki67/Fbxo5/Top2b/Ncapd3/Ccnb2/Ttk/Topbp1/Pttg1/Top2a/Cks2/Trip13/Rad21/Sgo1/Ndc80/Rbbp8/Cdc25c/Incenp/Ubb",39
"GO:0051303","GO:0051303","establishment of chromosome localization","21/574","81/23355",3.82708517563572e-16,1.89015484507786e-14,1.44914482527727e-14,"Nuf2/Hnrnpu/Cenpf/Kif18a/Psrc1/Cenpe/Kif2c/Cdca8/Nudc/Cenpc1/Kif22/Spdl1/Aurkb/Spag5/Kpnb1/Birc5/Ccnb1/Cenpq/Ndc80/Cdca5/Incenp",21
"GO:1901989","GO:1901989","positive regulation of cell cycle phase transition","23/574","102/23355",4.23060003297393e-16,2.06082379688429e-14,1.5799933792938e-14,"Dtl/Ube2c/Cenpe/Anp32b/Rcc2/Dbf4/Anapc5/Ezh2/Ccnd2/Ccnd1/Fbxo5/Cdk1/Cdk4/Tfdp1/Egfr/Npm1/Atad5/Birc5/Ccnb1/Cdc25c/Lmnb1/Rpl17/Cdca5",23
"GO:0050000","GO:0050000","chromosome localization","21/574","83/23355",6.57924020613665e-16,3.16159164500296e-14,2.42393060226087e-14,"Nuf2/Hnrnpu/Cenpf/Kif18a/Psrc1/Cenpe/Kif2c/Cdca8/Nudc/Cenpc1/Kif22/Spdl1/Aurkb/Spag5/Kpnb1/Birc5/Ccnb1/Cenpq/Ndc80/Cdca5/Incenp",21
"GO:0006364","GO:0006364","rRNA processing","31/574","207/23355",7.30075673698278e-16,3.46153212756143e-14,2.653889115619e-14,"Rpl7/Ncl/Rpl7a/Rpl35/Exosc8/Gar1/Chd7/Rps6/Rps8/Rpl11/Lyar/Rpl5/Rps19/Fbl/Rps16/Rps17/Ddx21/Rps15/Pa2g4/Lsm6/Rps24/Rps25/Rpl14/Npm1/Nhp2/Rpl26/Rpl27/Rps7/Rpl35a/Rpl10a/Rps28",31
"GO:0044839","GO:0044839","cell cycle G2/M phase transition","26/574","141/23355",9.41094107791594e-16,4.40332979908804e-14,3.37594700717483e-14,"Cenpf/Dtl/Ccna2/Clspn/Rcc2/Cit/Foxm1/Blm/Plk1/Ccnd1/Fbxo5/Cdk1/Cdk4/Ccnb2/Topbp1/Npm1/Atad5/Brca1/Birc5/Ccnb1/Skp2/Rad21/Ndc80/Calm2/Cdc25c/Lmnb1",26
"GO:0051783","GO:0051783","regulation of nuclear division","26/574","142/23355",1.12595147328487e-15,5.19984862207924e-14,3.98662244129573e-14,"Bub1b/Nusap1/Bub1/Cenpe/Cdk5rap2/Cdc20/Ywhah/Anapc5/Mad2l1/Rad51ap1/Plk1/Bub3/Mki67/Fbxo5/Bora/Phip/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192/Kif20b",26
"GO:0010639","GO:0010639","negative regulation of organelle organization","40/574","359/23355",1.58259610858682e-15,7.20706600536185e-14,5.52551682963921e-14,"Map2/Bok/Hnrnpu/Parp1/H3f3a/Bub1b/Bub1/Tpx2/Slc25a5/Tmsb4x/Cenpe/Cdk5rap2/Stmn1/Mad2l1/Tmsb10/Mcm2/Fkbp4/Plk1/Bub3/Fbxo5/Ckap2/Ttk/Npm1/Spdl1/Pttg1/Aurkb/Top2a/H3f3b/Birc5/Dbn1/Trip13/Ccnb1/Rad21/Lima1/Kifc1/Ndc80/Cep192/Cfl1/Stmn2/Map1b",40
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","17/574","50/23355",1.60111983808657e-15,7.20706600536185e-14,5.52551682963921e-14,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",17
"GO:0031577","GO:0031577","spindle checkpoint","16/574","43/23355",2.06985009364952e-15,9.20048366627211e-14,7.05383124020033e-14,"Bub1b/Bub1/Aurka/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Ndc80/Cep192",16
"GO:0016072","GO:0016072","rRNA metabolic process","31/574","216/23355",2.46589099032685e-15,1.08255658785213e-13,8.29975005191235e-14,"Rpl7/Ncl/Rpl7a/Rpl35/Exosc8/Gar1/Chd7/Rps6/Rps8/Rpl11/Lyar/Rpl5/Rps19/Fbl/Rps16/Rps17/Ddx21/Rps15/Pa2g4/Lsm6/Rps24/Rps25/Rpl14/Npm1/Nhp2/Rpl26/Rpl27/Rps7/Rpl35a/Rpl10a/Rps28",31
"GO:0071459","GO:0071459","protein localization to chromosome, centromeric region","13/574","25/23355",4.14355791772277e-15,1.77796082586629e-13,1.36312786069318e-13,"Bub1b/Knl1/Rcc2/Cenpa/Bub3/Cdk1/Ctcf/Ttk/Spdl1/Aurkb/Haspin/Cenpq/Ndc80",13
"GO:0051054","GO:0051054","positive regulation of DNA metabolic process","31/574","220/23355",4.14990856431109e-15,1.77796082586629e-13,1.36312786069318e-13,"Dhx9/Parp1/Nek2/Rad51/Pcna/Pak3/Cct3/Nsd2/Hnrnpd/Rfc3/Cct7/Rad51ap1/Foxm1/Trim28/Blm/Rps3/Cct2/Ptges3/Top2b/Gnl3/Egfr/Cct4/Npm1/Aurkb/Atad5/Brca1/Hsp90aa1/Cct5/Rfc4/Tcp1/Hsp90ab1",31
"GO:0030261","GO:0030261","chromosome condensation","16/574","45/23355",4.82284079543438e-15,2.04166927006722e-13,1.56530797746554e-13,"H3f3a/Nusap1/Ncaph/Smc4/Smc2/Ncapg/Ncapd2/Cdk1/Ncapd3/Top2a/H3f3b/Ccnb1/Ncapg2/Banf1/Cdca5/Incenp",16
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint","15/574","38/23355",5.52878409843367e-15,2.28608793651513e-13,1.75269899815706e-13,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Ndc80/Cep192",15
"GO:0071173","GO:0071173","spindle assembly checkpoint","15/574","38/23355",5.52878409843367e-15,2.28608793651513e-13,1.75269899815706e-13,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Ndc80/Cep192",15
"GO:0042255","GO:0042255","ribosome assembly","18/574","64/23355",1.03791363118735e-14,4.20970046311021e-13,3.22749517478404e-13,"Rpl11/Mrpl20/Rpl5/Rplp0/Rpl6/Rps5/Rps19/Rps15/Rps25/Rps27l/Rpsa/C1qbp/Rpl23a/Rpl38/Rpl3/Rpl24/Rps2/Rps28",18
"GO:0051383","GO:0051383","kinetochore organization","12/574","21/23355",1.04177064328937e-14,4.20970046311021e-13,3.22749517478404e-13,"Nuf2/Smc4/Cenpe/Smc2/Cenps/Cenpa/Cenpc1/Cenpw/Dlgap5/Cenph/Cenpk/Ndc80",12
"GO:0007080","GO:0007080","mitotic metaphase plate congression","16/574","47/23355",1.07135240480531e-14,4.28059455223336e-13,3.28184828911385e-13,"Nuf2/Hnrnpu/Kif18a/Psrc1/Cenpe/Kif2c/Cdca8/Nudc/Cenpc1/Kif22/Spdl1/Aurkb/Kpnb1/Ccnb1/Ndc80/Cdca5",16
"GO:0071897","GO:0071897","DNA biosynthetic process","27/574","170/23355",1.25224231719428e-14,4.94774853326985e-13,3.79334222401543e-13,"Hnrnpu/Dtl/Nek2/Pcna/Pola1/Pak3/Cct3/Dnajc2/Hnrnpd/Rfc3/Cct7/Lig1/Cct2/Ptges3/Tfdp1/Cdkn2d/Pclaf/Cct4/Npm1/Nhp2/Aurkb/Tk1/Hsp90aa1/Cct5/Rfc4/Tcp1/Hsp90ab1",27
"GO:0071174","GO:0071174","mitotic spindle checkpoint","15/574","40/23355",1.37373359147926e-14,5.36812818824203e-13,4.11563909997835e-13,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Ndc80/Cep192",15
"GO:0051988","GO:0051988","regulation of attachment of spindle microtubules to kinetochore","10/574","13/23355",1.99230763171392e-14,7.70070210692904e-13,5.90397799329413e-13,"Hnrnpu/Nek2/Knstrn/Ect2/Cenpe/Rcc2/Aurkb/Spag5/Ccnb1/Racgap1",10
"GO:1901992","GO:1901992","positive regulation of mitotic cell cycle phase transition","20/574","88/23355",3.02974889548698e-14,1.15847172820986e-12,8.88177661495333e-13,"Dtl/Ube2c/Cenpe/Anp32b/Rcc2/Dbf4/Anapc5/Ccnd2/Ccnd1/Fbxo5/Cdk1/Cdk4/Tfdp1/Egfr/Birc5/Ccnb1/Cdc25c/Lmnb1/Rpl17/Cdca5",20
"GO:0000281","GO:0000281","mitotic cytokinesis","18/574","68/23355",3.35034552656972e-14,1.26742858430659e-12,9.71712756306335e-13,"Nusap1/Kif4/Ect2/Stmn1/Cenpa/Cit/Plk1/Ckap2/Anln/Kif23/Myh10/Birc5/Racgap1/Kif20a/Cfl1/Incenp/Kif20b/Cep55",18
"GO:0051784","GO:0051784","negative regulation of nuclear division","17/574","60/23355",5.01392051641486e-14,1.87678961646013e-12,1.43889796537557e-12,"Bub1b/Bub1/Cenpe/Cdk5rap2/Mad2l1/Plk1/Bub3/Fbxo5/Ttk/Spdl1/Aurkb/Birc5/Trip13/Ccnb1/Rad21/Ndc80/Cep192",17
"GO:0032200","GO:0032200","telomere organization","23/574","126/23355",5.44450554363981e-14,2.01595378467651e-12,1.545592416764e-12,"Hnrnpu/Parp1/H3f3a/Nek2/Rad51/Pcna/Cct3/Rpa2/Hnrnpd/Cct7/Blm/Cct2/Ptges3/Gnl3/Cct4/Nhp2/Aurkb/H3f3b/Smc6/Hsp90aa1/Cct5/Tcp1/Hsp90ab1",23
"GO:0051656","GO:0051656","establishment of organelle localization","40/574","399/23355",5.49908653300397e-14,2.01595378467651e-12,1.545592416764e-12,"Map2/Nuf2/Hnrnpu/Cenpf/Sapcd2/Kif18a/Nusap1/Psrc1/Cenpe/Cdk5rap2/Kif2c/Cdca8/Nudc/Cenpa/Tacc3/Cenpc1/Ran/Mad2l1/Plk1/Kif22/Rps15/Kif23/Xpo1/Npm1/Spdl1/Myh10/Aurkb/Spag5/Kpnb1/Birc5/Ccnb1/Kifc1/Cenpq/Ndc80/Cfl1/Cdca5/Incenp/Syne2/Ubb/Map1b",40
"GO:0006310","GO:0006310","DNA recombination","34/574","292/23355",6.08452995892402e-14,2.20781515652386e-12,1.69268878556533e-12,"Mcm3/Hspd1/Mcm6/Nucks1/Parp1/Rad51/Nono/Actl6a/Sfpq/Rpa2/Kdm1a/Cenps/Nsd2/Mcm7/Hmgb1/Sem1/Rpa3/Ezh2/Mcm2/Rad18/Rad51ap1/Lig1/Blm/Hmgb2/Mcm5/Top2b/Topbp1/Atad5/Top2a/Brca1/Trip13/Smc6/Rad21/Rbbp8",34
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","18/574","72/23355",9.94905827345451e-14,3.57362133539437e-12,2.73982572336493e-12,"Rpl7/Rpl7a/Rpl35/Rpl11/Mrpl20/Rpl5/Rplp0/Rpl6/Rpl14/Npm1/Nhp2/Rpl26/Rpl23a/Rpl38/Rpl3/Rpl35a/Rpl24/Rpl10a",18
"GO:0006261","GO:0006261","DNA-dependent DNA replication","24/574","144/23355",1.25698915758726e-13,4.46985344438029e-12,3.42694938752737e-12,"Mcm3/Mcm6/Nucks1/Rad51/Pcna/Pola1/Pole3/Cenps/Dbf4/Mcm7/Rfc3/Mcm2/Lig1/E2f8/Blm/Fbxo5/Ddx21/Prim1/Mcm5/Tipin/Topbp1/Npm1/Atad5/Rfc4",24
"GO:0006338","GO:0006338","chromatin remodeling","25/574","162/23355",2.37442269312382e-13,8.35984861064189e-12,6.40933275163179e-12,"Ptma/Hjurp/H3f3a/Actl6a/Anp32e/Chd7/Pole3/Nasp/Rbbp4/Baz1b/Trim28/Mbd3/Smarca5/Pbrm1/Dnmt1/Smarca4/Smarcc1/Npm1/Cenpv/Chd3/Smarce1/H3f3b/Cenpp/Smarcd1/Hells",25
"GO:0000086","GO:0000086","G2/M transition of mitotic cell cycle","22/574","122/23355",2.50614352117077e-13,8.73710427576789e-12,6.69856730632847e-12,"Cenpf/Dtl/Ccna2/Clspn/Rcc2/Cit/Foxm1/Blm/Plk1/Ccnd1/Fbxo5/Cdk1/Cdk4/Topbp1/Brca1/Birc5/Ccnb1/Skp2/Rad21/Calm2/Cdc25c/Lmnb1",22
"GO:0045931","GO:0045931","positive regulation of mitotic cell cycle","22/574","123/23355",2.98302306667131e-13,1.02986699272652e-11,7.89578921070894e-12,"Dtl/Ube2c/Cenpe/Eif4e/Anp32b/Rcc2/Dbf4/Anapc5/Hmgb1/Ccnd2/Ccnd1/Fbxo5/Cdk1/Cdk4/Tfdp1/Egfr/Birc5/Ccnb1/Cdc25c/Lmnb1/Rpl17/Cdca5",22
"GO:0006403","GO:0006403","RNA localization","26/574","180/23355",3.86074898689052e-13,1.32007917282526e-11,1.01207893482252e-11,"Nop58/Dhx9/Hnrnpu/Ssb/Hnrnpa3/Ybx1/Sfpq/Khdrbs1/Slbp/Ran/Sem1/Fbl/Rps15/Cct2/Thoc7/Cct4/Xpo1/Npm1/Eif5a/Alyref/Eny2/Hnrnpa1/Mrpl18/Tcp1/Srsf3/Srsf7",26
"GO:0061640","GO:0061640","cytoskeleton-dependent cytokinesis","19/574","93/23355",1.04041247927736e-12,3.52353026315267e-11,2.70142187601842e-11,"Nusap1/Kif4/Ect2/Stmn1/Cenpa/Cit/Plk1/Ckap2/Anln/Kif23/Myh10/Aurkb/Birc5/Racgap1/Kif20a/Cfl1/Incenp/Kif20b/Cep55",19
