"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051896","GO:0051896","regulation of protein kinase B signaling","17/453","158/16051",2.40478295906858e-06,0.000154071631127856,0.000110017920868107,"Lmbrd1/Igfbp5/F3/Klf4/Cavin3/Fgfr1/Fermt2/Sesn3/Dag1/Slc9a3r1/Ntrk2/Nrxn1/Tcf7l2/Tpbg/Chil1/Phlpp1/Ntrk3",17
"GO:0006869","GO:0006869","lipid transport","28/453","371/16051",2.41480922959774e-06,0.000154071631127856,0.000110017920868107,"Acsl3/Dbi/Soat1/Kcnj10/Slc1a2/Abca1/Scp2/Slco1c1/Apoe/Gja1/Psap/Lrp1/Slc27a1/Myo6/Selenom/Acsl6/Gm2a/Gfap/Pitpnc1/Ntrk2/Slc1a3/Gabbr1/Nr3c1/Cry2/Abca8a/Scarb2/Slc7a11/Apoc1",28
"GO:0001942","GO:0001942","hair follicle development","13/453","95/16051",2.57952520485371e-06,0.000162295127472046,0.000115890072434436,"Igfbp5/Bcl2/Dbi/Lrp4/Gnas/Tnfrsf19/Sox9/Ctsl/Trps1/Fgfr2/Celsr1/Tgfb2/Tfap2c",13
"GO:0030900","GO:0030900","forebrain development","27/453","352/16051",2.69902596524636e-06,0.000167487501678986,0.000119597790788782,"Dbi/Btg2/Atp1a2/Slc1a2/Sox2/Dclk1/Bcan/Dab1/Hes5/Epha5/Cntnap2/Nr2e1/Fgfr1/Aplp2/Atp1b2/Id4/Ntrk2/Id2/Ttc8/Hes1/Tcf7l2/Kif1a/Fgfr2/Slc7a11/Fezf2/Tfap2c/Fabp7",27
"GO:0001666","GO:0001666","response to hypoxia","19/453","195/16051",2.77688481138406e-06,0.000169990381021214,0.000121385021698197,"Bcl2/Atp1b1/Kcnk2/Ogt/Ddah1/Pink1/Rgcc/Rora/Zfp36l1/Tmbim6/Cbs/Acaa2/Camk2d/Egln3/Camk2g/Sirt2/Tgfb2/Nfe2l2/Ddit4",19
"GO:0030323","GO:0030323","respiratory tube development","19/453","196/16051",2.99623330611741e-06,0.000180972491689492,0.000129227016837878,"Igfbp5/Sox2/Tnc/Hopx/Fgfr1/Dag1/Sparc/Thra/Sox9/Hes1/Pdgfrb/Chil1/Pdpn/Fgfr2/Celsr1/Slc7a11/Foxj1/Klf2/Meg3",19
"GO:0048715","GO:0048715","negative regulation of oligodendrocyte differentiation","6/453","16/16051",3.07839000593067e-06,0.000183488246406131,0.000131023441665166,"Hes5/Id4/Id2/Hes1/Daam2/Sirt2",6
"GO:0010035","GO:0010035","response to inorganic substance","30/453","421/16051",3.39795983762433e-06,0.000199905948888808,0.000142746829542304,"Bcl2/Sirpa/Prnp/Sox2/Foxo1/Syt11/S100a16/Jun/Prdx1/Pink1/Fosb/Psap/Jund/Junb/Mt3/Mt2/Mt1/Glud1/Selenom/Id2/Fos/Slc1a3/Nrxn1/Impact/Pdgfrb/Hgf/Gsn/Nfe2l2/Rhob/Nr4a1",30
"GO:0071385","GO:0071385","cellular response to glucocorticoid stimulus","8/453","34/16051",3.60271444748659e-06,0.000205729444268844,0.000146905212556793,"Zfp36/Fam107a/Zfp36l1/Crebrf/Zfp36l2/Nr3c1/Klf9/Ddit4",8
"GO:0009991","GO:0009991","response to extracellular stimulus","25/453","316/16051",3.67159709030896e-06,0.000205729444268844,0.000146905212556793,"Bcl2/Glul/Slc1a2/Pcsk1n/Lamp2/Foxo1/Vcam1/Jun/Sgip1/Apoe/Zfp36/Mt3/Fam107a/Sesn3/Slc38a3/Nim1k/Fos/Cbs/Impact/Tcf7l2/Sirt2/Fads1/Sorl1/Nfe2l2/Rbp1",25
"GO:0022404","GO:0022404","molting cycle process","13/453","98/16051",3.67860595712503e-06,0.000205729444268844,0.000146905212556793,"Igfbp5/Bcl2/Dbi/Lrp4/Gnas/Tnfrsf19/Sox9/Ctsl/Trps1/Fgfr2/Celsr1/Tgfb2/Tfap2c",13
"GO:0022405","GO:0022405","hair cycle process","13/453","98/16051",3.67860595712503e-06,0.000205729444268844,0.000146905212556793,"Igfbp5/Bcl2/Dbi/Lrp4/Gnas/Tnfrsf19/Sox9/Ctsl/Trps1/Fgfr2/Celsr1/Tgfb2/Tfap2c",13
"GO:0030336","GO:0030336","negative regulation of cell migration","22/453","256/16051",3.74762494830146e-06,0.00020703342702202,0.000147836347447117,"Igfbp5/Bcl2/Klf4/Limch1/Ptn/Apoe/Gja1/Lrp1/Cd63/Sfrp1/Calr/Rgcc/Dag1/Atp1b2/Slc9a3r1/Dusp1/Abr/Mcc/Sema6d/Srgap3/Nfe2l2/Rhob",22
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","33/453","491/16051",3.89146193300265e-06,0.000212389428391591,0.000151660907040167,"Dbi/Glul/Kcnj10/Ptpra/Prnp/Car2/Pink1/Tprgl/Ptn/Mgll/Apoe/Nr2e1/Fam107a/Pcdh8/Myo6/Ephb1/Gnai2/Cspg5/Sqstm1/Gfap/Ntrk2/Slc1a3/Ctnnd2/Gabbr1/Dlgap1/Nrxn1/Nr3c1/Kcnn2/Clstn1/Sybu/Abr/Slc7a11/Serpine2",33
"GO:0043523","GO:0043523","regulation of neuron apoptotic process","22/453","257/16051",3.99323141700472e-06,0.000214058865547753,0.000152853001935226,"Bcl2/Btg2/Prnp/Cebpb/Gclm/Jun/Ppt1/Pink1/Ptprz1/Apoe/Lrp1/Mt3/Mt1/Ntrk2/Nrbp2/Nr3c1/Egln3/Cntfr/Ppp2r2b/Ptprf/Retreg1/Tgfb2",22
"GO:0051271","GO:0051271","negative regulation of cellular component movement","23/453","277/16051",4.03605077934242e-06,0.000214058865547753,0.000152853001935226,"Igfbp5/Bcl2/Klf4/Limch1/Ptn/Cd9/Apoe/Gja1/Lrp1/Cd63/Sfrp1/Calr/Rgcc/Dag1/Atp1b2/Slc9a3r1/Dusp1/Abr/Mcc/Sema6d/Srgap3/Nfe2l2/Rhob",23
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","33/453","492/16051",4.06381069251804e-06,0.000214058865547753,0.000152853001935226,"Dbi/Glul/Kcnj10/Ptpra/Prnp/Car2/Pink1/Tprgl/Ptn/Mgll/Apoe/Nr2e1/Fam107a/Pcdh8/Myo6/Ephb1/Gnai2/Cspg5/Sqstm1/Gfap/Ntrk2/Slc1a3/Ctnnd2/Gabbr1/Dlgap1/Nrxn1/Nr3c1/Kcnn2/Clstn1/Sybu/Abr/Slc7a11/Serpine2",33
"GO:0098773","GO:0098773","skin epidermis development","13/453","99/16051",4.12768280889409e-06,0.000214924173842417,0.000153470892579934,"Igfbp5/Bcl2/Dbi/Lrp4/Gnas/Tnfrsf19/Sox9/Ctsl/Trps1/Fgfr2/Celsr1/Tgfb2/Tfap2c",13
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","25/453","319/16051",4.34093967633748e-06,0.000223459735611463,0.000159565880686424,"Vim/Wwtr1/Notch2/Jun/Hes5/Rgma/Htra1/Sfrp1/Fermt2/Neo1/Sptbn1/Tmem100/Fos/Trps1/Hes1/Pdcd4/Tcf7l2/Itgb5/Bmpr1b/Tob1/Sorl1/Col1a2/Zfp703/Tgfb2/Meg3",25
"GO:1905475","GO:1905475","regulation of protein localization to membrane","18/453","183/16051",4.43486182562248e-06,0.000224699415973392,0.000160451099171891,"Acsl3/Ppp2r5a/Lrp4/Prnp/Ogt/Tmem59/Ptn/Cd81/Lrp1/Dag1/Sptbn1/Sqstm1/Nrxn1/Sorbs1/Camk2d/Camk2g/Gsn/Slc7a11",18
"GO:0042552","GO:0042552","myelination","16/453","148/16051",4.46422680741839e-06,0.000224699415973392,0.000160451099171891,"Kcnj10/Degs1/Hes5/Ptprz1/Ptn/Cd9/Psap/Clu/Dag1/Id4/Ntrk2/Qk/Tcf7l2/Hgf/Sirt2/Ntrk3",16
"GO:0036293","GO:0036293","response to decreased oxygen levels","19/453","202/16051",4.67532869036731e-06,0.000232738889751252,0.000166191845754757,"Bcl2/Atp1b1/Kcnk2/Ogt/Ddah1/Pink1/Rgcc/Rora/Zfp36l1/Tmbim6/Cbs/Acaa2/Camk2d/Egln3/Camk2g/Sirt2/Tgfb2/Nfe2l2/Ddit4",19
"GO:0009636","GO:0009636","response to toxic substance","13/453","101/16051",5.17371489389865e-06,0.000253531876953913,0.000181039492942808,"Bcl2/Prdx6/Gstm5/Prdx1/Pink1/Gabrb1/Aldh2/Pon2/Mt3/Mt2/Mt1/Slc7a11/Nfe2l2",13
"GO:0001525","GO:0001525","angiogenesis","32/453","475/16051",5.2079305869946e-06,0.000253531876953913,0.000181039492942808,"Glul/S100a1/Notch2/S1pr1/F3/Ddah1/Klf4/Jun/Ptn/Mfge8/Sash1/Nr2e1/Btg1/Fgfr1/Rgcc/Rora/Ephb1/Sparc/Tmem100/Emp2/Nrxn1/Pdgfrb/Hgf/Chil1/Adamts1/Fgfr2/Tspan12/Tgfb2/Nfe2l2/Rhob/Nr4a1/Klf2",32
"GO:0007272","GO:0007272","ensheathment of neurons","16/453","150/16051",5.31689366680391e-06,0.000253531876953913,0.000181039492942808,"Kcnj10/Degs1/Hes5/Ptprz1/Ptn/Cd9/Psap/Clu/Dag1/Id4/Ntrk2/Qk/Tcf7l2/Hgf/Sirt2/Ntrk3",16
"GO:0008366","GO:0008366","axon ensheathment","16/453","150/16051",5.31689366680391e-06,0.000253531876953913,0.000181039492942808,"Kcnj10/Degs1/Hes5/Ptprz1/Ptn/Cd9/Psap/Clu/Dag1/Id4/Ntrk2/Qk/Tcf7l2/Hgf/Sirt2/Ntrk3",16
"GO:0045687","GO:0045687","positive regulation of glial cell differentiation","9/453","47/16051",5.51278464525595e-06,0.000260134525448015,0.0001857542457771,"Ptpra/Ptprz1/Ptn/Dag1/Id2/Hes1/Qk/Il6st/Serpine2",9
"GO:0014015","GO:0014015","positive regulation of gliogenesis","11/453","73/16051",5.89138500537511e-06,0.000274167131062859,0.00019577450766961,"Vim/Ptpra/Ptprz1/Ptn/Dag1/Gfap/Id2/Hes1/Qk/Il6st/Serpine2",11
"GO:0061564","GO:0061564","axon development","32/453","478/16051",5.93120945787201e-06,0.000274167131062859,0.00019577450766961,"Dst/Bcl2/Vim/Lrp4/Dclk1/Klf4/Tnc/Jun/Dab1/Epha5/Ptprz1/Ptn/Mgll/Apoe/Rgma/Nr2e1/Lrp1/Vcl/Neo1/Ephb1/Dag1/Ntrk2/Ttc8/Alcam/Ptprf/Bmpr1b/Plxnb1/Fgfr2/Ntrk3/Sema6d/Tgfb2/Fezf2",32
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","20/453","225/16051",6.23296679986817e-06,0.000285205450539422,0.000203656639829823,"Acadl/Acsl3/Glul/Degs1/Mid1ip1/Phgdh/Psph/Mgll/Ldhb/Glud1/Acsbg1/Slc1a3/Qk/Cbs/Psat1/Scd2/Nr1d1/Fads1/Acss1/Rbp1",20
"GO:0050803","GO:0050803","regulation of synapse structure or activity","22/453","265/16051",6.55113490041158e-06,0.000296766410988645,0.000211911974199629,"Lrp4/Prnp/Chmp4b/Sparcl1/Ptn/Apoe/Gpm6a/Pcdh8/Ephb1/Dag1/Sparc/Ntrk2/Nrxn1/Malat1/Ncan/Kif1a/Clstn1/Tpbg/Ptprf/Sybu/Ntrk3/Slc7a11",22
"GO:0050768","GO:0050768","negative regulation of neurogenesis","16/453","153/16051",6.87019901202599e-06,0.000308138628955225,0.000220032533235601,"Lrp4/Dab1/Hes5/Ptn/Rgma/Nr2e1/Mt3/Id4/Id2/Hes1/Daam2/Nr1d1/Sirt2/Sorl1/Ntrk3/Sema6d",16
"GO:0071384","GO:0071384","cellular response to corticosteroid stimulus","8/453","37/16051",7.11219096702992e-06,0.000315864951771035,0.000225549668128823,"Zfp36/Fam107a/Zfp36l1/Crebrf/Zfp36l2/Nr3c1/Klf9/Ddit4",8
"GO:0002028","GO:0002028","regulation of sodium ion transport","12/453","89/16051",7.32091814930867e-06,0.000321978244819109,0.000229914986947629,"Atp1b1/Atp1a2/Gnas/Nkain4/Atp1a1/Fxyd1/Atp1b2/Slc9a3r1/Camk2d/Dmd/Serpine2/Fxyd6",12
"GO:0001837","GO:0001837","epithelial to mesenchymal transition","15/453","137/16051",7.57860727169349e-06,0.000330106643661265,0.000235719232246094,"Wwtr1/Gja1/Sfrp1/Fgfr1/Fermt2/Rgcc/Dag1/Tmem100/Sox9/Pdcd4/Tcf7l2/Pdpn/Fgfr2/Zfp703/Tgfb2",15
"GO:2000146","GO:2000146","negative regulation of cell motility","22/453","268/16051",7.8428318230114e-06,0.000338362172935635,0.000241614257565053,"Igfbp5/Bcl2/Klf4/Limch1/Ptn/Apoe/Gja1/Lrp1/Cd63/Sfrp1/Calr/Rgcc/Dag1/Atp1b2/Slc9a3r1/Dusp1/Abr/Mcc/Sema6d/Srgap3/Nfe2l2/Rhob",22
"GO:0021537","GO:0021537","telencephalon development","20/453","229/16051",8.11829638480018e-06,0.000346942288897593,0.000247741060481539,"Dbi/Btg2/Atp1a2/Slc1a2/Sox2/Bcan/Dab1/Hes5/Epha5/Nr2e1/Fgfr1/Atp1b2/Id4/Ntrk2/Id2/Ttc8/Hes1/Slc7a11/Fezf2/Tfap2c",20
"GO:0048762","GO:0048762","mesenchymal cell differentiation","19/453","210/16051",8.22497236760311e-06,0.000347587885879308,0.000248202061881518,"Bcl2/Wwtr1/Gja1/Sfrp1/Fgfr1/Fermt2/Rgcc/Ednrb/Dag1/Tmem100/Sox9/Hes1/Pdcd4/Tcf7l2/Pdpn/Fgfr2/Zfp703/Sema6d/Tgfb2",19
"GO:0009612","GO:0009612","response to mechanical stimulus","15/453","138/16051",8.28686350440735e-06,0.000347587885879308,0.000248202061881518,"Atp1a2/Sox2/Atp1a1/Jun/Ptn/Cntnap2/Dag1/Sox9/Fos/Slc1a3/Nrxn1/Nrxn2/Dmd/Gsn/Serpine2",15
"GO:0140354","GO:0140354","lipid import into cell","8/453","38/16051",8.78845819785177e-06,0.000365245097580445,0.000260810546035717,"Acsl3/Kcnj10/Slc1a2/Slc27a1/Acsl6/Gfap/Slc1a3/Slc7a11",8
"GO:0055067","GO:0055067","monovalent inorganic cation homeostasis","15/453","139/16051",9.05338864097256e-06,0.00037283500494187,0.000266230270753193,"Bcl2/Atp1b1/Atp1a2/Kcnj10/Gnas/Car2/Atp1a1/Ppt1/Slc4a4/Ednrb/Gnai2/Atp1b2/Slc1a3/Camk2d/Tmem106b",15
"GO:0071496","GO:0071496","cellular response to external stimulus","20/453","231/16051",9.24192242226481e-06,0.000374014771393643,0.000267072706516246,"Bcl2/Glul/Atp1a2/Slc1a2/Lamp2/Foxo1/Atp1a1/Vcam1/Jun/Fam107a/Sesn3/Slc38a3/Dag1/Sox9/Nim1k/Fos/Impact/Tcf7l2/Fads1/Nfe2l2",20
"GO:0045833","GO:0045833","negative regulation of lipid metabolic process","12/453","91/16051",9.24716432584724e-06,0.000374014771393643,0.000267072706516246,"Acadl/Dbi/Ppp2r5a/Atp1a1/Apoe/Crtc3/Dkk3/Slc27a1/Sox9/Pik3ip1/Sorl1/Apoc1",12
"GO:0140115","GO:0140115","export across plasma membrane","9/453","50/16051",9.40358570357762e-06,0.000376975603869085,0.000269186947993424,"Atp1b1/Atp1a2/Atp1a1/Abca1/Slc4a4/Fxyd1/Gja1/Slc27a1/Atp1b2",9
"GO:0051961","GO:0051961","negative regulation of nervous system development","16/453","157/16051",9.56770480634023e-06,0.000378962472952893,0.000270605711486985,"Lrp4/Dab1/Hes5/Ptn/Rgma/Nr2e1/Mt3/Id4/Id2/Hes1/Daam2/Nr1d1/Sirt2/Sorl1/Ntrk3/Sema6d",16
"GO:0014065","GO:0014065","phosphatidylinositol 3-kinase signaling","14/453","123/16051",9.7037058790415e-06,0.000378962472952893,0.000270605711486985,"Prex2/Klf4/Sox9/Slc9a3r1/Ntrk2/Zfp36l1/Pdgfrb/Hgf/Pik3ip1/Sirt2/Plxnb1/Ntrk3/Tgfb2/Serpine2",14
"GO:0048712","GO:0048712","negative regulation of astrocyte differentiation","6/453","19/16051",9.70411630519548e-06,0.000378962472952893,0.000270605711486985,"Dab1/Hes5/Nr2e1/Id4/Nr1d1/Ntrk3",6
"GO:0016053","GO:0016053","organic acid biosynthetic process","20/453","232/16051",9.85473353735871e-06,0.000381555067728504,0.000272457005490808,"Acadl/Acsl3/Glul/Degs1/Mid1ip1/Phgdh/Psph/Mgll/Ldhb/Glud1/Acsbg1/Slc1a3/Qk/Cbs/Psat1/Scd2/Nr1d1/Fads1/Acss1/Rbp1",20
"GO:0006979","GO:0006979","response to oxidative stress","27/453","378/16051",1.00859702029417e-05,0.000387198686604456,0.000276486944100266,"Bcl2/Prdx6/Sirpa/Prnp/Cst3/Foxo1/Gclm/Jun/Prdx1/Pink1/Aldh2/Mgst1/Apoe/Selenos/Psap/Mt3/Sesn3/Fos/Impact/Pdgfrb/Camk2g/Hgf/Sirt2/Slc7a11/Nfe2l2/Rhob/Txnip",27
"GO:1901215","GO:1901215","negative regulation of neuron death","20/453","233/16051",1.05039383301646e-05,0.000396995125740956,0.000283482286836751,"Bcl2/Btg2/Chmp4b/Cebpb/Gclm/Jun/Ppt1/Pink1/Ptprz1/Apoe/Lrp1/Mt3/Mt1/Neo1/Ntrk2/Nrbp2/Cntfr/Sorl1/Retreg1/Slc7a11",20
"GO:0048511","GO:0048511","rhythmic process","22/453","273/16051",1.05164271719458e-05,0.000396995125740956,0.000283482286836751,"Ogt/Id3/Per3/Ptn/Bhlhe40/Dbp/Cavin3/Rora/Id4/Ntrk2/Id2/Rorb/Klf9/Cry2/Nr1d1/Phlpp1/Bmpr1b/Adamts1/Bhlhe41/Tef/Ntrk3/Usp2",22
"GO:0045599","GO:0045599","negative regulation of fat cell differentiation","9/453","51/16051",1.11368159255379e-05,0.000410398825056941,0.000293053465644238,"Foxo1/Wwtr1/Fermt2/Rora/Id4/Zfp36l2/Tcf7l2/Sirt2/Sort1",9
"GO:0045668","GO:0045668","negative regulation of osteoblast differentiation","9/453","51/16051",1.11368159255379e-05,0.000410398825056941,0.000293053465644238,"Igfbp5/Sox2/Id3/Sfrp1/Fgfr1/Sox9/Id2/Rorb/Tob1",9
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","31/453","470/16051",1.11660293134788e-05,0.000410398825056941,0.000293053465644238,"Acadl/Acsl3/Dbi/Degs1/Mid1ip1/Ogt/Phgdh/Scp2/Slc4a4/Naaa/Mgll/Ldhb/Aldoa/Slc27a1/Acsbg1/Acsl6/Aldoc/Sox9/Acox1/Slc1a3/Qk/Glo1/Acaa2/Cyb5a/Scd2/Nr1d1/Fads1/Acss1/Pdpn/Ddit4/Rbp1",31
"GO:0051384","GO:0051384","response to glucocorticoid","10/453","64/16051",1.12338751229715e-05,0.000410398825056941,0.000293053465644238,"Bcl2/Zfp36/Fam107a/Acsbg1/Zfp36l1/Crebrf/Zfp36l2/Nr3c1/Klf9/Ddit4",10
"GO:0003014","GO:0003014","renal system process","12/453","93/16051",1.16035745689952e-05,0.000420513542380386,0.000300276081267556,"Bcl2/Gnas/Gja1/Psap/Cyba/Ednrb/Gnai2/Slc9a3r1/Emp2/Slc15a2/Aqp4/Gsn",12
"GO:0030007","GO:0030007","cellular potassium ion homeostasis","5/453","12/16051",1.17740979211075e-05,0.000423306853830292,0.000302270701015566,"Atp1b1/Atp1a2/Atp1a1/Atp1b2/Camk2d",5
"GO:0050807","GO:0050807","regulation of synapse organization","21/453","255/16051",1.19909719417045e-05,0.00042770947162143,0.000305414478051041,"Lrp4/Prnp/Chmp4b/Sparcl1/Ptn/Apoe/Gpm6a/Pcdh8/Ephb1/Dag1/Sparc/Ntrk2/Nrxn1/Malat1/Ncan/Kif1a/Clstn1/Tpbg/Ptprf/Ntrk3/Slc7a11",21
"GO:0098657","GO:0098657","import into cell","20/453","236/16051",1.26893073055631e-05,0.000449082516360945,0.00032067632689141,"Acsl3/Atp1b1/Atp1a2/Kcnj10/Slc1a2/Prnp/Slc16a2/Gpm6b/Atp1a1/Eps15/Slc27a1/Myo6/Acsl6/Atp1b2/Gfap/Slc1a3/Slc15a2/Sirt2/Slc6a11/Slc7a11",20
"GO:0006112","GO:0006112","energy reserve metabolic process","11/453","79/16051",1.28513195983297e-05,0.000451290525429718,0.000322252999801446,"Pygb/Gnas/Phkg1/Mt3/Ugp2/Ppp1r1a/Ppp1r3c/Sorbs1/Tcf7l2/Nr1d1/Il6st",11
"GO:1903909","GO:1903909","regulation of receptor clustering","6/453","20/16051",1.35340080880698e-05,0.000471608127991972,0.000336761189106386,"Lrp4/Ptn/Cd81/Sorbs1/Gsn/Slc7a11",6
"GO:0071248","GO:0071248","cellular response to metal ion","15/453","144/16051",1.39128649690161e-05,0.000481108994730097,0.00034354547247719,"Prnp/Sox2/Syt11/Jun/Fosb/Jund/Junb/Mt3/Mt2/Mt1/Id2/Fos/Nrxn1/Gsn/Nfe2l2",15
"GO:0007160","GO:0007160","cell-matrix adhesion","18/453","199/16051",1.42356398675861e-05,0.000488541277273977,0.000348852642050176,"Bcl2/Sirpa/Ptpra/Sdc4/Gpm6b/Bcan/Vcam1/Limch1/Lrp1/Cd63/Fam107a/Vcl/Fermt2/Dag1/Emp2/Sorbs1/Itgb5/Dmd",18
"GO:0006865","GO:0006865","amino acid transport","15/453","145/16051",1.51243087247227e-05,0.000515136229496193,0.000367843298069432,"Kcnj10/Slc1a2/Slc16a2/Sfxn5/Slc7a10/Gja1/Myo6/Slc38a3/Gfap/Slc9a3r1/Ntrk2/Slc1a3/Gabbr1/Nr3c1/Slc7a11",15
"GO:0060541","GO:0060541","respiratory system development","19/453","220/16051",1.59779593113012e-05,0.000540150415523838,0.000385705176462125,"Igfbp5/Sox2/Tnc/Hopx/Fgfr1/Dag1/Sparc/Thra/Sox9/Hes1/Pdgfrb/Chil1/Pdpn/Fgfr2/Celsr1/Slc7a11/Foxj1/Klf2/Meg3",19
"GO:0042303","GO:0042303","molting cycle","13/453","112/16051",1.62595424696316e-05,0.000541586230789935,0.000386730448987445,"Igfbp5/Bcl2/Dbi/Lrp4/Gnas/Tnfrsf19/Sox9/Ctsl/Trps1/Fgfr2/Celsr1/Tgfb2/Tfap2c",13
"GO:0042633","GO:0042633","hair cycle","13/453","112/16051",1.62595424696316e-05,0.000541586230789935,0.000386730448987445,"Igfbp5/Bcl2/Dbi/Lrp4/Gnas/Tnfrsf19/Sox9/Ctsl/Trps1/Fgfr2/Celsr1/Tgfb2/Tfap2c",13
"GO:0016055","GO:0016055","Wnt signaling pathway","27/453","389/16051",1.6884698108732e-05,0.000547926921940084,0.000391258145956054,"Lrp4/Sox2/Foxo1/Wwtr1/Klf4/Plpp3/Apoe/Dkk3/Lrp1/Sfrp1/Cpe/Fermt2/Ndrg2/Thra/Fzd2/Sox9/Slc9a3r1/Ctnnd2/Daam2/Tcf7l2/Gprc5b/Klf15/Fgfr2/Zfp703/Celsr1/Mcc/Ctnnbip1",27
"GO:0043588","GO:0043588","skin development","19/453","221/16051",1.70338080355646e-05,0.000547926921940084,0.000391258145956054,"Igfbp5/Bcl2/Dbi/Lrp4/Gnas/Zfp36/Psap/Tnfrsf19/Sox9/Ctsl/Zfp36l1/Trps1/Tcf7l2/Fgfr2/Col1a2/Celsr1/Tgfb2/Tfap2c/Txnip",19
"GO:0015800","GO:0015800","acidic amino acid transport","10/453","67/16051",1.70546790272741e-05,0.000547926921940084,0.000391258145956054,"Kcnj10/Slc1a2/Gja1/Myo6/Slc9a3r1/Ntrk2/Slc1a3/Gabbr1/Nr3c1/Slc7a11",10
"GO:0045669","GO:0045669","positive regulation of osteoblast differentiation","10/453","67/16051",1.70546790272741e-05,0.000547926921940084,0.000391258145956054,"Cebpb/Gnas/Wwtr1/Atraid/Jund/Fermt2/Cebpd/Il6st/Bmpr1b/Ctnnbip1",10
"GO:0048678","GO:0048678","response to axon injury","10/453","67/16051",1.70546790272741e-05,0.000547926921940084,0.000391258145956054,"Bcl2/Klf4/Tnc/Jun/Ptn/Rgma/Lrp1/Neo1/Ptprf/Ntrk3",10
"GO:0198738","GO:0198738","cell-cell signaling by wnt","27/453","391/16051",1.8496278416386e-05,0.000583893305986041,0.000416940659764169,"Lrp4/Sox2/Foxo1/Wwtr1/Klf4/Plpp3/Apoe/Dkk3/Lrp1/Sfrp1/Cpe/Fermt2/Ndrg2/Thra/Fzd2/Sox9/Slc9a3r1/Ctnnd2/Daam2/Tcf7l2/Gprc5b/Klf15/Fgfr2/Zfp703/Celsr1/Mcc/Ctnnbip1",27
"GO:0070841","GO:0070841","inclusion body assembly","6/453","21/16051",1.84981428722849e-05,0.000583893305986041,0.000416940659764169,"Apoe/Psap/Clu/Hspa2/Dlgap1/Sorl1",6
"GO:0071280","GO:0071280","cellular response to copper ion","5/453","13/16051",1.86897415823346e-05,0.000583893305986041,0.000416940659764169,"Prnp/Mt3/Mt2/Mt1/Nfe2l2",5
"GO:0097201","GO:0097201","negative regulation of transcription from RNA polymerase II promoter in response to stress","5/453","13/16051",1.86897415823346e-05,0.000583893305986041,0.000416940659764169,"Jun/Tmbim6/Impact/Sirt2/Ppp1r15a",5
"GO:0071241","GO:0071241","cellular response to inorganic substance","16/453","166/16051",1.93483001259696e-05,0.000596808200851966,0.00042616279800583,"Prnp/Sox2/Foxo1/Syt11/Jun/Fosb/Jund/Junb/Mt3/Mt2/Mt1/Id2/Fos/Nrxn1/Gsn/Nfe2l2",16
"GO:0031960","GO:0031960","response to corticosteroid","10/453","68/16051",1.94983694759583e-05,0.000596808200851966,0.00042616279800583,"Bcl2/Zfp36/Fam107a/Acsbg1/Zfp36l1/Crebrf/Zfp36l2/Nr3c1/Klf9/Ddit4",10
"GO:0043113","GO:0043113","receptor clustering","10/453","68/16051",1.94983694759583e-05,0.000596808200851966,0.00042616279800583,"Nme7/Lrp4/Ptn/Apoe/Cd81/Nrxn1/Nrxn2/Sorbs1/Gsn/Slc7a11",10
"GO:0048839","GO:0048839","inner ear development","17/453","185/16051",2.00065624108907e-05,0.000601513609578658,0.000429522788947418,"Sdc4/Sox2/Hes5/Psap/Fgfr1/Myo6/Fzd2/Sox9/Slc9a3r1/Ttc8/Hes1/Cebpd/Fgfr2/Prrx1/Abr/Celsr1/Tgfb2",17
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process","17/453","185/16051",2.00065624108907e-05,0.000601513609578658,0.000429522788947418,"Bcl2/Sirpa/Ogt/Foxo1/Ddah1/Klf4/Pink1/Aldh2/Selenos/Cyba/Clu/Gnai2/Pdgfrb/Clcn3/Sirt2/Nfe2l2/Klf2",17
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","14/453","131/16051",2.00504536526219e-05,0.000601513609578658,0.000429522788947418,"Cebpb/Sox2/Wwtr1/Hes5/Zfp36/Btg1/Vcl/Tmem100/Sox9/Zfp36l1/Hes1/Tgfb2/Foxj1/Maff",14
"GO:1903793","GO:1903793","positive regulation of anion transport","30/453","462/16051",2.08519857487567e-05,0.000621444048959657,0.000443754516661561,"Acsl3/Dbi/Glul/Slc1a2/Prnp/Cebpb/Car2/Abca1/Scp2/Pink1/Camk2n1/Apoe/Fxyd1/Cd81/Gja1/Lrp1/Cyba/Glud1/Slc38a3/Acsl6/Crebrf/Gabbr1/Nr3c1/Sorbs1/Tcf7l2/Klf15/Sorl1/Sybu/Tgfb2/Nfe2l2",30
"GO:0051926","GO:0051926","negative regulation of calcium ion transport","9/453","55/16051",2.10629709657376e-05,0.000622922998474564,0.000444810590057473,"Bcl2/Atp1a2/Gem/Gnao1/Tmbim6/Hes1/Pacsin3/Tgfb2/Usp2",9
